"p           ","o/f         ","rho         ","isp         ","cp          ","t           ","gam         ","mw          ","mach        ","Pinf/P      "
   4.82631E+01,   3.94000E+00,   4.72361E+00,   0.00000E+00,   3.62543E+00,   3.13435E+03,   1.15109E+00,   2.55060E+01,   0.00000E+00,   0.00000E+00
   2.76602E+01,   3.94000E+00,   2.91466E+00,   1.04725E+03,   3.22676E+00,   2.93774E+03,   1.15570E+00,   2.57385E+01,   9.99991E-01,   0.00000E+00
   1.73342E+00,   3.94000E+00,   2.87170E-01,   2.32071E+03,   1.69320E+00,   1.89908E+03,   1.23201E+00,   2.61586E+01,   2.69111E+00,   0.00000E+00
   4.82631E+01,   3.95000E+00,   4.72470E+00,   0.00000E+00,   3.63620E+00,   3.13529E+03,   1.15086E+00,   2.55196E+01,   0.00000E+00,   0.00000E+00
   2.76642E+01,   3.95000E+00,   2.91533E+00,   1.04703E+03,   3.24174E+00,   2.93917E+03,   1.15530E+00,   2.57532E+01,   9.99991E-01,   0.00000E+00
   1.73549E+00,   3.95000E+00,   2.87165E-01,   2.32079E+03,   1.69331E+00,   1.90293E+03,   1.23179E+00,   2.61800E+01,   2.68982E+00,   0.00000E+00
   4.82631E+01,   3.96000E+00,   4.72580E+00,   0.00000E+00,   3.64677E+00,   3.13621E+03,   1.15064E+00,   2.55330E+01,   0.00000E+00,   0.00000E+00
   2.76681E+01,   3.96000E+00,   2.91601E+00,   1.04681E+03,   3.25657E+00,   2.94056E+03,   1.15491E+00,   2.57677E+01,   9.99992E-01,   0.00000E+00
   1.73758E+00,   3.96000E+00,   2.87163E-01,   2.32086E+03,   1.69345E+00,   1.90678E+03,   1.23156E+00,   2.62013E+01,   2.68852E+00,   0.00000E+00
   4.82631E+01,   3.97000E+00,   4.72693E+00,   0.00000E+00,   3.65715E+00,   3.13710E+03,   1.15043E+00,   2.55463E+01,   0.00000E+00,   0.00000E+00
   2.76720E+01,   3.97000E+00,   2.91671E+00,   1.04658E+03,   3.27124E+00,   2.94192E+03,   1.15454E+00,   2.57822E+01,   9.99993E-01,   0.00000E+00
   1.73968E+00,   3.97000E+00,   2.87164E-01,   2.32092E+03,   1.69361E+00,   1.91064E+03,   1.23134E+00,   2.62225E+01,   2.68721E+00,   0.00000E+00
   4.82631E+01,   3.98000E+00,   4.72807E+00,   0.00000E+00,   3.66733E+00,   3.13797E+03,   1.15022E+00,   2.55596E+01,   0.00000E+00,   0.00000E+00
   2.76758E+01,   3.98000E+00,   2.91741E+00,   1.04636E+03,   3.28574E+00,   2.94324E+03,   1.15416E+00,   2.57965E+01,   9.99993E-01,   0.00000E+00
   1.74180E+00,   3.98000E+00,   2.87167E-01,   2.32096E+03,   1.69381E+00,   1.91449E+03,   1.23111E+00,   2.62437E+01,   2.68589E+00,   0.00000E+00
   4.82631E+01,   3.99000E+00,   4.72924E+00,   0.00000E+00,   3.67731E+00,   3.13881E+03,   1.15001E+00,   2.55728E+01,   0.00000E+00,   0.00000E+00
   2.76795E+01,   3.99000E+00,   2.91813E+00,   1.04614E+03,   3.30007E+00,   2.94453E+03,   1.15380E+00,   2.58107E+01,   9.99994E-01,   0.00000E+00
   1.74394E+00,   3.99000E+00,   2.87172E-01,   2.32100E+03,   1.69404E+00,   1.91835E+03,   1.23088E+00,   2.62649E+01,   2.68456E+00,   0.00000E+00
   4.82631E+01,   4.00000E+00,   4.73042E+00,   0.00000E+00,   3.68710E+00,   3.13963E+03,   1.14981E+00,   2.55859E+01,   0.00000E+00,   0.00000E+00
   2.76831E+01,   4.00000E+00,   2.91886E+00,   1.04592E+03,   3.31422E+00,   2.94579E+03,   1.15345E+00,   2.58249E+01,   9.99994E-01,   0.00000E+00
   1.74610E+00,   4.00000E+00,   2.87180E-01,   2.32102E+03,   1.69431E+00,   1.92221E+03,   1.23064E+00,   2.62859E+01,   2.68322E+00,   0.00000E+00
   4.82631E+01,   4.10000E+00,   4.74322E+00,   0.00000E+00,   3.77390E+00,   3.14663E+03,   1.14806E+00,   2.57123E+01,   0.00000E+00,   0.00000E+00
   2.77150E+01,   4.10000E+00,   2.92680E+00,   1.04369E+03,   3.44457E+00,   2.95665E+03,   1.15033E+00,   2.59606E+01,   9.99997E-01,   0.00000E+00
   1.76862E+00,   4.10000E+00,   2.87396E-01,   2.32066E+03,   1.69913E+00,   1.96093E+03,   1.22808E+00,   2.64938E+01,   2.66944E+00,   0.00000E+00
   4.82631E+01,   4.20000E+00,   4.75757E+00,   0.00000E+00,   3.84064E+00,   3.15163E+03,   1.14673E+00,   2.58310E+01,   0.00000E+00,   0.00000E+00
   2.77398E+01,   4.20000E+00,   2.93569E+00,   1.04148E+03,   3.55172E+00,   2.96466E+03,   1.14792E+00,   2.60867E+01,   9.99999E-01,   0.00000E+00
   1.79284E+00,   4.20000E+00,   2.87848E-01,   2.31916E+03,   1.70968E+00,   1.99980E+03,   1.22497E+00,   2.66959E+01,   2.65509E+00,   0.00000E+00
   4.82631E+01,   4.30000E+00,   4.77318E+00,   0.00000E+00,   3.88821E+00,   3.15492E+03,   1.14573E+00,   2.59428E+01,   0.00000E+00,   0.00000E+00
   2.77581E+01,   4.30000E+00,   2.94536E+00,   1.03931E+03,   3.63359E+00,   2.97019E+03,   1.14614E+00,   2.62041E+01,   1.00000E+00,   0.00000E+00
   1.81859E+00,   4.30000E+00,   2.88526E-01,   2.31650E+03,   1.73057E+00,   2.03862E+03,   1.22086E+00,   2.68921E+01,   2.64074E+00,   0.00000E+00
